text,chunk_type,database_id,polymer_name,force_field,property,value,extra_info,doi,paper_title,chunk_id
"Polymer: Polycarbonate
Property: youngs_modulus = 3.4
Additional Info: {}
Force Field: Hahn et al. force field
Source: All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA
DOI: https://doi.org/10.1016/j.polymer.2023.126276",property,40,Polycarbonate,Hahn et al. force field,youngs_modulus,3.4,{},https://doi.org/10.1016/j.polymer.2023.126276,All-atom molecular dynamics study of the impact fracture of glassy polymers. III- Compressive fracture of PC and PMMA,119db17aca9c
"Polymer: Amylose 20-mer
Property: density = 1.24
Additional Info: {}
Force Field: CHARMM36
Source: Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition
DOI: https://doi.org/10.1021/acs.macromol.1c01925",property,41,Amylose 20-mer,CHARMM36,density,1.24,{},https://doi.org/10.1021/acs.macromol.1c01925,Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition,c5a561ad195d
"Polymer: Amylose 20-mer
Property: glass_transition_temp = 586
Additional Info: {}
Force Field: CHARMM36
Source: Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition
DOI: https://doi.org/10.1021/acs.macromol.1c01925",property,42,Amylose 20-mer,CHARMM36,glass_transition_temp,586,{},https://doi.org/10.1021/acs.macromol.1c01925,Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition,0b41e00cc2a1
"Polymer: Amylose 20-mer
Property: radius_gyration = 1.628
Additional Info: {}
Force Field: CHARMM36
Source: Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition
DOI: https://doi.org/10.1021/acs.macromol.1c01925",property,43,Amylose 20-mer,CHARMM36,radius_gyration,1.628,{},https://doi.org/10.1021/acs.macromol.1c01925,Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition,20891e44c7a2
"Polymer: Amylose 20-mer
Property: radius_gyration = 1.777
Additional Info: {""condition"" : ""Martini 20-mer at 700 K ""}
Force Field: Martini
Source: Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition
DOI: https://doi.org/10.1021/acs.macromol.1c01925",property,44,Amylose 20-mer,Martini,radius_gyration,1.777,"{""condition"" : ""Martini 20-mer at 700 K ""}",https://doi.org/10.1021/acs.macromol.1c01925,Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition,2c55f50fb7da
"Polymer: Amylose 20-mer
Property: radius_gyration = 1.701
Additional Info: {}
Force Field: IBI
Source: Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition
DOI: https://doi.org/10.1021/acs.macromol.1c01925",property,45,Amylose 20-mer,IBI,radius_gyration,1.701,{},https://doi.org/10.1021/acs.macromol.1c01925,Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition,28443bb0ac7b
"Polymer: Amylose 20-mer
Property: density = 1.37
Additional Info: {""condition"" : ""365 replicates""}
Force Field: CHARMM36
Source: Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition
DOI: https://doi.org/10.1021/acs.macromol.1c01925",property,46,Amylose 20-mer,CHARMM36,density,1.37,"{""condition"" : ""365 replicates""}",https://doi.org/10.1021/acs.macromol.1c01925,Atomistic and Coarse-Grained Simulations of Bulk Amorphous Amylose Above and Below the Glass Transition,313910d15524
"Polymer: Poly(ethylene glycol)
Property: diffusion_coefficient = Approximately (1e-11 to 1e-10)
Additional Info: {""condition"":""Li+ and TFSI−""}
Force Field: OPLS
Source: Charge Scaling in Classical Force Fields for Lithium Ions in Polymers
DOI: https://doi.org/10.1021/acsmacrolett.4c00368",property,47,Poly(ethylene glycol),OPLS,diffusion_coefficient,Approximately (1e-11 to 1e-10),"{""condition"":""Li+ and TFSI−""}",https://doi.org/10.1021/acsmacrolett.4c00368,Charge Scaling in Classical Force Fields for Lithium Ions in Polymers,8eb3cccf6ed5
"Polymer: Polycaprolactone
Property: diffusion_coefficient = 2.17e-11
Additional Info: {}
Force Field: MARTINI coarse-grained
Source: Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone
DOI: https://doi.org/10.1021/acs.jpca.0c01939",property,48,Polycaprolactone,MARTINI coarse-grained,diffusion_coefficient,2.17e-11,{},https://doi.org/10.1021/acs.jpca.0c01939,Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone,9b99797588d6
"Polymer: Polycaprolactone
Property: youngs_modulus = 0.3583
Additional Info: {}
Force Field: MARTINI coarse-grained
Source: Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone
DOI: https://doi.org/10.1021/acs.jpca.0c01939",property,49,Polycaprolactone,MARTINI coarse-grained,youngs_modulus,0.3583,{},https://doi.org/10.1021/acs.jpca.0c01939,Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone,6b88400d35ac
"Polymer: Polycaprolactone
Property: diffusion_coefficient = 1.05e-11
Additional Info: {}
Force Field: MARTINI coarse-grained
Source: Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone
DOI: https://doi.org/10.1021/acs.jpca.0c01939",property,50,Polycaprolactone,MARTINI coarse-grained,diffusion_coefficient,1.05e-11,{},https://doi.org/10.1021/acs.jpca.0c01939,Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone,80c257cee380
"Polymer: Polycaprolactone
Property: youngs_modulus = 0.4491
Additional Info: {}
Force Field: MARTINI coarse-grained
Source: Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone
DOI: https://doi.org/10.1021/acs.jpca.0c01939",property,51,Polycaprolactone,MARTINI coarse-grained,youngs_modulus,0.4491,{},https://doi.org/10.1021/acs.jpca.0c01939,Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone,a8917aa3c74e
"Polymer: Polycaprolactone
Property: diffusion_coefficient = 1.46e-11
Additional Info: {}
Force Field: MARTINI coarse-grained
Source: Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone
DOI: https://doi.org/10.1021/acs.jpca.0c01939",property,52,Polycaprolactone,MARTINI coarse-grained,diffusion_coefficient,1.46e-11,{},https://doi.org/10.1021/acs.jpca.0c01939,Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone,a2f920efa7a5
"Polymer: Polycaprolactone
Property: youngs_modulus = 0.4551
Additional Info: {}
Force Field: MARTINI coarse-grained
Source: Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone
DOI: https://doi.org/10.1021/acs.jpca.0c01939",property,53,Polycaprolactone,MARTINI coarse-grained,youngs_modulus,0.4551,{},https://doi.org/10.1021/acs.jpca.0c01939,Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone,d7d958342332
"Polymer: Polycaprolactone
Property: diffusion_coefficient = 4.5e-11
Additional Info: {}
Force Field: MARTINI coarse-grained
Source: Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone
DOI: https://doi.org/10.1021/acs.jpca.0c01939",property,54,Polycaprolactone,MARTINI coarse-grained,diffusion_coefficient,4.5e-11,{},https://doi.org/10.1021/acs.jpca.0c01939,Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone,289c0fcc44e9
"Polymer: Polycaprolactone
Property: youngs_modulus = 0.383
Additional Info: {}
Force Field: MARTINI coarse-grained
Source: Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone
DOI: https://doi.org/10.1021/acs.jpca.0c01939",property,55,Polycaprolactone,MARTINI coarse-grained,youngs_modulus,0.383,{},https://doi.org/10.1021/acs.jpca.0c01939,Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone,883090a13075
"Polymer: Polycaprolactone
Property: diffusion_coefficient = 7.54e-12
Additional Info: {}
Force Field: MARTINI force field by Raman et al.
Source: Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone
DOI: https://doi.org/10.1021/acs.jpca.0c01939",property,56,Polycaprolactone,MARTINI force field by Raman et al.,diffusion_coefficient,7.54e-12,{},https://doi.org/10.1021/acs.jpca.0c01939,Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone,eba9cac149e4
"Polymer: Polycaprolactone
Property: youngs_modulus = 0.66
Additional Info: {}
Force Field: MARTINI force field by Raman et al.
Source: Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone
DOI: https://doi.org/10.1021/acs.jpca.0c01939",property,57,Polycaprolactone,MARTINI force field by Raman et al.,youngs_modulus,0.66,{},https://doi.org/10.1021/acs.jpca.0c01939,Coarse-Grained Force Field Calibration Based on Multiobjective Bayesian Optimization to Simulate Water Diffusion in Poly-Œµ-caprolactone,aa7eea3c436d
"Polymer: Poly(ethylene oxide)
Property: density = 0.671
Additional Info: {}
Force Field: p-OMFF
Source: Coarse-Grained Force Field for Polyethylene Oxide and Polyethylene Glycol Aqueous Solutions Based on a Polarizable Water Model
DOI: https://doi.org/10.1021/acs.jctc.2c01151",property,58,Poly(ethylene oxide),p-OMFF,density,0.671,{},https://doi.org/10.1021/acs.jctc.2c01151,Coarse-Grained Force Field for Polyethylene Oxide and Polyethylene Glycol Aqueous Solutions Based on a Polarizable Water Model,c5fbcb30328a
