text,chunk_type,doi,paper_title,polymers,properties,num_properties
"Title: Carbon Dioxide Solubility in Three Fluorinated Polyimides Studied by Molecular Dynamics Simulations

Abstract: Fluorinated polyimides are interesting polymer materials for gas separation applications because of their good mechanical, thermal, and transport properties. We have performed molecular dynamics simulations (MD) of CO 2 sorption and desorption in three fluorinated polyimides: 6FDA-6FpDA, 6FDA-6FmDA, and 6FDA-DAM. These polyimides are known to vary significantly in their gas permeation properties. A stepwise procedure was used to insert CO 2 molecules into the previously prepared polymer matrices in order to mimick the experimental procedure of progressive loading and to avoid the necessity of preswelling the samples. An iterative technique was then used to estimate the vapor pressure of CO 2 that would have to be applied in order to obtain the imposed uptake. The resulting sorption isotherms are found to be in relatively good agreement with their respective experimental curves, and the trend in solubility was reproduced (6FDA-DAM > 6FDA-6FpDA > 6FDA-6FmDA). Desorption isotherms were also calculated starting from systems corresponding to an applied pressure of 60 bar. Hysteresis was evident even upon immediate unloading. Changes in volume, void space, potential energies, etc., have been characterized and compared to experimental data and to theories of gas sorption and plasticization in glassy polymers.

Polymers Studied: Fluorinated polyimide from 6FDA and 6FpDA monomers, Fluorinated polyimide from 6FDA and 6FmDA monomers, Fluorinated polyimide from 6FDA and DAM monomers
Properties Measured: glass_transition_temp
Force Fields Used: TRIPOS 5.2

Sample Data:
  - Fluorinated polyimide from 6FDA and 6FpDA monomers: glass_transition_temp = 700
  - Fluorinated polyimide from 6FDA and 6FmDA monomers: glass_transition_temp = 600
  - Fluorinated polyimide from 6FDA and DAM monomers: glass_transition_temp = 700

DOI: https://doi.org/10.1021/ma902507d",paper,https://doi.org/10.1021/ma902507d,Carbon Dioxide Solubility in Three Fluorinated Polyimides Studied by Molecular Dynamics Simulations,"Fluorinated polyimide from 6FDA and 6FpDA monomers, Fluorinated polyimide from 6FDA and 6FmDA monomers, Fluorinated polyimide from 6FDA and DAM monomers",glass_transition_temp,3
"Title: Chain dynamics evolution of ethylene‚Äêpropylene‚Äêdiene monomer in response to hot humid and salt fog environment

Abstract: This work is dedicated to the mechanism underlying the influence of the harsh environment that may cause accelerated aging (high temperature, humidity, and salt spray) on the static and dynamics characteristics of ethylene-propylene-diene monomer (EPDM) copolymer. A molecular dynamics simulation was employed to provide an insight into the effects of the hot humid and salt fog environment on the micro and macroscopic properties. First, evidence shows that the T g obtained by fitting mean square displacement does not rely on the selection of the equilibrium time. Second, radial distribution function, chain configuration, and nonbonding interaction were analyzed and it is inferred that the ambient humidity and temperature show a significant synergy on the EPDM system, which is attributed to the aggregation state transition and diffusion behavior of partial water at high temperatures. Finally, water and salt were considered as two factors to explore the influence on the T g and the mobility of the molecular chain. It is concluded that the existence of water molecules significantly affects the chain dynamic behavior of EPDM, while salt is not regarded as an influencing factor. In general, our simulated work provides some insights and guidance for the durability of EPDM when used in harsh environments.

Polymers Studied: Ethylene-propylene-diene rubber (terpolymer of ethylene, propylene, and a diene monomer)
Properties Measured: glass_transition_temp
Force Fields Used: COMPASS

Sample Data:
  - Ethylene-propylene-diene rubber (terpolymer of ethylene, propylene, and a diene monomer): glass_transition_temp = 228.8
  - Ethylene-propylene-diene rubber (terpolymer of ethylene, propylene, and a diene monomer): glass_transition_temp = 218.5
  - Ethylene-propylene-diene rubber (terpolymer of ethylene, propylene, and a diene monomer): glass_transition_temp = 215

DOI: https://doi.org/10.1002/app.50724",paper,https://doi.org/10.1002/app.50724,Chain dynamics evolution of ethylene‚Äêpropylene‚Äêdiene monomer in response to hot humid and salt fog environment,"Ethylene-propylene-diene rubber (terpolymer of ethylene, propylene, and a diene monomer)",glass_transition_temp,3
"Title: Chain-Length Dependence of Polymer Dynamics: A Comparison of Results from Molecular Dynamics Simulations and Field-Cycling 1H NMR

Abstract: Performing molecular dynamics simulations for an all-atom force field, we study the segmental or, equivalently, R relaxation of poly(propylene oxide) chains consisting of N = 2-100 monomer units. In particular, we analyze the dependence of the R relaxation on molecular weight and temperature on the basis of incoherent intermediate scattering functions. For all studied chain lengths N, the temperature dependence is well described by a Vogel-Fulcher-Tammann behavior and time-temperature superposition is obeyed at sufficiently low temperatures T. When the molecular weight increases, time scale and stretching of the R relaxation smoothly increase until they saturate at N = 30-40, where the characteristic ratio reaches the limiting value C ¬¨‚Ä¢ and, hence, the chains start to show Gaussian conformation. The temperature-dependent R relaxation times collapse onto a master curve in a fragility plot, indicating that the high-temperature fragility of the model polymer is independent of the degree of polymerization. We determine to which extent the observed dependence of the segmental relaxation time on T and N can be traced back to excess free volume near chain ends within free-volume theory.

Polymers Studied: Poly(propylene oxide)
Properties Measured: glass_transition_temp
Force Fields Used: all-atom force field (Buckingham potential for van der Waals, Coulomb interactions)

Sample Data:
  - Poly(propylene oxide): glass_transition_temp = 287

DOI: https://doi.org/10.1021/ma101721d",paper,https://doi.org/10.1021/ma101721d,Chain-Length Dependence of Polymer Dynamics: A Comparison of Results from Molecular Dynamics Simulations and Field-Cycling 1H NMR,Poly(propylene oxide),glass_transition_temp,1
"Title: Coarse-Grained Molecular Dynamics Simulation of Polyethylene Terephthalate (PET)

Abstract: A coarse-grained (CG) model of poly(ethylene terephthalate) (PET) was developed and implemented in CG molecular dynamics (MD) simulations of PET chains with degree of polymerization up to 50. The CG potential is parametrized to structural distribution functions obtained from atomistic simulations [ J. Phys. Chem. B 2010, 114, 786] using an inversion procedure based on the Ornstein-Zernike equation with the Percus-Yevick approximation (OZPY) [ Phys. Rev. E 2010, 81, 061204]. The CGMD simulation of PET chains satisfactorily reproduces the structural and dynamic properties from atomistic MD simulation of the same systems. We report the average chain end-to-end distance and radius of gyration, relaxation time, selfdiffusivity, and zero-shear-rate-viscosity's dependence on degree of polymerization. For the longest chains, we find the scaling exponents of 0.51, 0.50, and -2.00 for average chain end-to-end distance, radius of gyration and self-diffusivity, respectively. The exponents are very close to the theoretical values of entangled polymer melt systems (0.50, 0.50, and -2.0). The study of entanglement in the longer chains shows that the tube diameter, number of monomers between entanglement points and interentanglement strand length are in close agreement with the reported values for an entangled PET melt.

Polymers Studied: Polyethylene Terephthalate
Properties Measured: density, diffusion_coefficient, radius_gyration, viscosity
Force Fields Used: HBB model, CG force field derived via OZPY⁻¹ inversion and fitted LJ 7–6 potentials.

Sample Data:
  - Polyethylene Terephthalate: density = 1.29
  - Polyethylene Terephthalate: density = 1.22
  - Polyethylene Terephthalate: diffusion_coefficient = 2.71e-10
  - Polyethylene Terephthalate: radius_gyration = 0.81
  - Polyethylene Terephthalate: viscosity = 0.001
  ... and 28 more measurements

DOI: https://doi.org/10.1021/ma102084a",paper,https://doi.org/10.1021/ma102084a,Coarse-Grained Molecular Dynamics Simulation of Polyethylene Terephthalate (PET),Polyethylene Terephthalate,"density, diffusion_coefficient, radius_gyration, viscosity",33
"Title: Coarse-grained molecular dynamics simulations of epoxy resin during the curing process

Abstract: Motivated by the need to establish a multiscale understanding of the mechanical and thermal properties of polymers used for nano-, meso-and macro-composites, we are presenting an investigation of the cross-linking process (associated with curing) of an epoxy phenol novolac and bisphenol-A melt system via coarse-grained molecular dynamics simulations. In particular, we are focusing on the associated structural and physical behaviors of the melts of different cross-linking degree under Couette and Poiseuille flow conditions. At the nanoscale, we also investigated the stress, heat flux and temperature fields that are computable from the quantities of the coarse-grained model of the epoxy resin melt with the extended Hardy's theory to multibody potentials. We have established that the epoxy resin chains tend to reorient along the direction of the imposed Couette flow, and the degree of alignment increases with the cross-linking degree and shear rate. The pronounced reorientation of cross-linked epoxy resin melts can be ascribed to the inter-bonded chains. This conformational change explains the shear thinning behaviors of cross-linked melts that initiate at low shear rates. The cross-linked melts under Poiseuille flow possess less pronounced velocity profiles, accompanied with the smaller temperature rise from the applied gravity force. Due to the size of the nanoscale channel height, the epoxy resin melts under Poiseuille flow can only be approximately predicted via the continuum theory. We have shown that the discrepancies between atomistic simulations and continuum predictions increase as the wall/epoxy interaction strength reduces. This study reveals the variations of important rheological properties during the cross-linking process and elucidates the roles played by the topological changes in the shear flow, thus can contribute to the design and manufacturing of the epoxy-resin based nanocomposites.

Polymers Studied: Epoxy Phenol Novolac Bisphenol A epoxy resin
Properties Measured: viscosity
Force Fields Used: Coarse-grained molecular dynamics (CGMD) model by Qu et al.

Sample Data:
  - Epoxy Phenol Novolac Bisphenol A epoxy resin: viscosity = 0.00258
  - Epoxy Phenol Novolac Bisphenol A epoxy resin: viscosity = 0.00488
  - Epoxy Phenol Novolac Bisphenol A epoxy resin: viscosity = 0.0113
  - Epoxy Phenol Novolac Bisphenol A epoxy resin: viscosity = 0.0199

DOI: https://doi.org/10.1016/j.commatsci.2015.04.022",paper,https://doi.org/10.1016/j.commatsci.2015.04.022,Coarse-grained molecular dynamics simulations of epoxy resin during the curing process,Epoxy Phenol Novolac Bisphenol A epoxy resin,viscosity,4
"Title: Coarse-grained molecular dynamics simulations of poly(ethylene terephthalate)

Abstract: We have constructed efficient coarse-grained (CG) models of poly(ethylene terephthalate) (PET), using three mapping schemes, in which a repeat unit is lumped into either three or four beads. The CG potentials are parameterized to reproduce target distributions of an underlying accurate atomistic model [H. Eslami and F. M‚àö¬∫ller-Plathe, Macromolecules 42, 8241-8250 (2009)]. The CG simulations allow equilibration of long PET chains at all length scales. The CG results on the density of PET in melt and glassy states, chain dimension, local packing, and structure factor are in good agreement with experiment. We have established a link between the glass transition temperature and the local movements including conformational transitions and mean-square displacements of chain segments. Temperature transferabilities of the three proposed models were studied by comparing CG results on the static and thermodynamic properties of a polymer with atomistic and experimental findings. One of the three CG models has a good degree of transferability, following all inter-and intra-structural rearrangements of the atomistic model, over a broad range of temperature. Furthermore, as a distinct point of strength of CG, over atomistic, simulations, we have examined the dynamics of PET long chains, consisting of 100 repeat units, over a regime where entanglements dominate the dynamics. Performing long-time (550 ns) CG simulations, we have noticed the signature of a crossover from Rouse to reptation dynamics. However, a clear separation between the Rouse and the reptation dynamics needs much longer time simulations, confirming the experimental findings that the crossover to full reptation dynamics is very protracted.

Polymers Studied: Poly(ethylene terephthalate)
Properties Measured: density, glass_transition_temp
Force Fields Used: Coarse-grained (CG) models derived from atomistic simulations, CG2 model, CG3 model, CG1 model

Sample Data:
  - Poly(ethylene terephthalate): density = 1.229
  - Poly(ethylene terephthalate): glass_transition_temp = 215
  - Poly(ethylene terephthalate): density = 1.22
  - Poly(ethylene terephthalate): glass_transition_temp = 275
  - Poly(ethylene terephthalate): density = 1.217
  ... and 2 more measurements

DOI: https://doi.org/10.1063/1.5145142",paper,https://doi.org/10.1063/1.5145142,Coarse-grained molecular dynamics simulations of poly(ethylene terephthalate),Poly(ethylene terephthalate),"density, glass_transition_temp",7
"Title: Coarse-grained molecular dynamics simulations of the tensile behavior of a thermosetting polymer

Abstract: Using a previously developed coarse-grained model, we conducted large-scale (‚àö√º85 ‚àö√≥ 85 ‚àö√≥ 85 nm 3 ) molecular dynamics simulations of uniaxial-strain deformation to study the tensile behavior of an epoxy molding compound, epoxy phenol novolacs (EPN) bisphenol A (BPA). Under the uniaxial-strain deformation, the material is found to exhibit cavity nucleation and growth, followed by stretching of the ligaments separated by the cavities, until the ultimate failure through ligament scissions. The nucleation sites of cavities are rather random and the subsequent cavity growth accounts for much (87%) of the volumetric change during the uniaxial-strain deformation. Ultimate failure of the materials occurs when the cavity volume fraction reaches ‚àö√º60%. During the entire deformation process, polymer strands in the network are continuously extended to their linear states and broken in the postyielding strain hardening stage. When most of the strands are stretched to their taut configurations, rapid scission of a large number of strands occurs within a small strain increment, which eventually leads to fracture. Finally, through extensive numerical simulations of various loading conditions in addition to uniaxial strain, we find that yielding of the EPN-BPA can be described by the pressure-modified von Mises yield criterion.

Polymers Studied: Epoxy phenol novolacs (EPN) bisphenol A (BPA)
Properties Measured: density, glass_transition_temp
Force Fields Used: coarse-grained (CG) model developed in Ref. [17] (with LJ + bonded quartic + angle terms and optimized parameters)

Sample Data:
  - Epoxy phenol novolacs (EPN) bisphenol A (BPA): density = 1.183
  - Epoxy phenol novolacs (EPN) bisphenol A (BPA): glass_transition_temp = 400

DOI: https://doi.org/10.1103/physreve.90.012601",paper,https://doi.org/10.1103/physreve.90.012601,Coarse-grained molecular dynamics simulations of the tensile behavior of a thermosetting polymer,Epoxy phenol novolacs (EPN) bisphenol A (BPA),"density, glass_transition_temp",2
"Title: Coarse-grained molecular-dynamics simulations of nanoparticle diffusion in polymer nanocomposites

Abstract: Molecular-dynamics simulations have emerged as an effective tool to characterize polymer systems. Molecular level effects (even on microsecond time scales) are nowadays well reproduced by atomistically detailed models. Beyond this, further insights into the properties of the polymer system at a mesoscopic level can be gained by resorting to simulations based on appropriate coarse-grained models. However, reducing the number of degrees of freedom during the coarse-graining procedure may have a significant impact on atomistic level effects. A common example is the overall enhancement of the diffusive motion of polymer chains in coarse-grained simulations, which arises from the reduced friction of the coarsegrained beads. In the present work we investigate this well-known effect and study how the diffusive properties of the nanoparticle are affected by the coarse-graining procedure. To this end, we apply iterative Boltzmann inversion to develop two coarse-grained models of a nanocomposite based on the thermoplastic polyimide R-BAPB, containing a single fullerene C 60 nanoparticle. By changing the size and, correspondingly, the total number of coarse-grained beads in each polymer chain, we can control the effect of chemical detalization on various phenomena. We exploit this idea to study the influence of the degree of detalization of polymer chains on their structural properties as well as on the diffusive properties of the fullerene nanoparticle, whose detalization is kept fixed. Although the structural properties of the coarse-grained systems are in good agreement with those of the fully atomistic system, the nanoparticle diffusion is significantly affected by the local chain structure. In particular, we find that the coarse-graining of the polymer chains on the length scale of the nanoparticle size leads to a full suppression of the subdiffusive regime observed in the fully atomistic system.

Polymers Studied: Polyimide R-BAPB (from Bisphenol A and Biphenyltetracarboxylic dianhydride), polyimide synthesized from dianhydride R and diamine BAPB
Properties Measured: density, radius_gyration
Force Fields Used: coarse-grained (CG) model developed in Ref. [17] (with LJ + bonded quartic + angle terms and optimized parameters), Fully atomistic (AA) model

Sample Data:
  - Polyimide R-BAPB (from Bisphenol A and Biphenyltetracarboxylic dianhydride): density = 1.216
  - Polyimide R-BAPB (from Bisphenol A and Biphenyltetracarboxylic dianhydride): radius_gyration = 4.2
  - Polyimide R-BAPB (from Bisphenol A and Biphenyltetracarboxylic dianhydride): density = 1.117
  - Polyimide R-BAPB (from Bisphenol A and Biphenyltetracarboxylic dianhydride): radius_gyration = 3.9
  - polyimide synthesized from dianhydride R and diamine BAPB: density = 1.207
  ... and 1 more measurements

DOI: https://doi.org/10.1016/j.polymer.2018.04.058",paper,https://doi.org/10.1016/j.polymer.2018.04.058,Coarse-grained molecular-dynamics simulations of nanoparticle diffusion in polymer nanocomposites,"Polyimide R-BAPB (from Bisphenol A and Biphenyltetracarboxylic dianhydride), polyimide synthesized from dianhydride R and diamine BAPB","density, radius_gyration",6
"Title: Coarse-graining scheme for simulating uniaxial stress-strain response of glassy polymers through molecular dynamics

Abstract: Simulation of the deformation of polymers below their glass transition through molecular dynamics provides an useful route to correlate their molecular architecture to deformation behavior. However, present computational capabilities severely restrict the time and length scales that can be simulated when detailed models of these macromolecules are used. Coarse-graining techniques for macromolecular structures intend to make bigger and longer simulations possible by grouping atoms into superatoms and devising ways of determining reasonable force fields for the superatoms in a manner that retains essential macromolecular features relevant to the process under study but jettisons unnecessary details. In this work we systematically develop a coarsegraining scheme aimed at simulating uniaxial stress-strain behavior of polymers below their glass transition. The scheme involves a two step process of obtaining the coarse grained force field parameters above glass transition. This seems to be enough to obtain ""faithful"" stress-strain responses after quenching to below the glass transition temperature. We apply the scheme developed to a commercially important polymer polystyrene, derive its complete force field parameters and thus demonstrate the effectiveness of the technique.

Polymers Studied: Polystyrene, Polystyrene 
Properties Measured: density, glass_transition_temp, youngs_modulus
Force Fields Used: United atom (Mondello et al.), Coarse-grained force field from force matching technique

Sample Data:
  - Polystyrene: density = 0.8
  - Polystyrene: glass_transition_temp = 355
  - Polystyrene: youngs_modulus = 3.6
  - Polystyrene : glass_transition_temp = 268

DOI: https://doi.org/10.1103/physreve.81.011803",paper,https://doi.org/10.1103/physreve.81.011803,Coarse-graining scheme for simulating uniaxial stress-strain response of glassy polymers through molecular dynamics,"Polystyrene, Polystyrene ","density, glass_transition_temp, youngs_modulus",4
"Title: Coarse‚Äêgrained A‚Äêgraft‚ÄêB model of poly(lactic acid) for molecular dynamics simulations

Abstract: A mesoscopic model of poly(lactic acid) is developed where the polymer is represented as an A-graft-B chain with monomer units consisting of two covalently connected beads. A coarse-graining algorithm is proposed to convert an atomistic model of PLA into a coarse-grained one. The developed model is based on atomistic simulations of oligolactides to take into account terminal groups correctly. It was used for coarse-grained simulations of polylactide. Gyration radii and end to end distances of polymer chains as well as the density of the polymer melt are shown to be in a good agreement with those obtained from atomistic simulations. The thermal expansion coefficients of the OLA melts calculated using the coarse-grained model are in reasonable agreement with those obtained from all-atom molecular dynamics. The model provides a 17-fold speedup compared with atomistic calculations.

Polymers Studied: Poly(lactic acid) (PLA)
Properties Measured: density, radius_gyration
Force Fields Used: Coarse grainde model

Sample Data:
  - Poly(lactic acid) (PLA): density = 0.9843
  - Poly(lactic acid) (PLA): radius_gyration = 4.1

DOI: https://doi.org/10.1002/polb.24567",paper,https://doi.org/10.1002/polb.24567,Coarse‚Äêgrained A‚Äêgraft‚ÄêB model of poly(lactic acid) for molecular dynamics simulations,Poly(lactic acid) (PLA),"density, radius_gyration",2
"Title: Coarse‚Äêgrained molecular dynamics simulations of stereoregular poly(methyl methacrylate)/poly(vinyl chloride) blends

Abstract: The stereoregular poly(methyl methacrylate)/poly(vinyl chloride) blends with a wide formulation range are extensively simulated using the coarse-grained (CG) molecular dynamics (MD) method. To improve the representability, the bonded CG potentials are re-parameterized against the atomistic simulated melt systems whereas the nonbonded CG potentials are adopted as developed in our previous work. Based on the CG potentials, the MD simulations reproduce all the local distributions of pure systems and the miscibility of mixed systems. Moreover, the global conformational properties are also closer to the target ones than those obtained using the previous CG potentials. The changes in density and volume upon mixing are computed together with the energies of mixing. They are all negative over the entire composition range and indicate stronger intermolecular interactions between distinct components than those between identical components. In particular, it is found that upon mixing the changes in density are insensible to chain tacticity but the changes in volume and the energies of mixing do, which quantitatively confirms that both inter-molecular interactions and free-volumes mainly contribute to the observed phase behaviors. Such models and methods reported herein can be used to quickly optimize formulations of polymer blends. V

Polymers Studied: Isotactic Poly(methyl methacrylate), Syndiotactic Poly(methyl methacrylate), Isotactic Poly(vinyl chloride)
Properties Measured: density, radius_gyration
Force Fields Used: OPLS-AA, CG (reparameterized)

Sample Data:
  - Isotactic Poly(methyl methacrylate): density = 1.0517
  - Isotactic Poly(methyl methacrylate): radius_gyration = 0.907
  - Isotactic Poly(methyl methacrylate): density = 1.1235
  - Isotactic Poly(methyl methacrylate): radius_gyration = 0.849
  - Syndiotactic Poly(methyl methacrylate): density = 1.0451
  ... and 7 more measurements

DOI: https://doi.org/10.1002/polb.23608",paper,https://doi.org/10.1002/polb.23608,Coarse‚Äêgrained molecular dynamics simulations of stereoregular poly(methyl methacrylate)/poly(vinyl chloride) blends,"Isotactic Poly(methyl methacrylate), Syndiotactic Poly(methyl methacrylate), Isotactic Poly(vinyl chloride)","density, radius_gyration",12
"Title: Combination of Hybrid Particle-Field Molecular Dynamics and Slip-Springs for the Efficient Simulation of Coarse-Grained Polymer Models- Static and Dynamic Properties of Polystyrene Melts

Abstract: A quantitative prediction of polymer-entangled dynamics based on molecular simulation is a grand challenge in contemporary computational material science. The drastic increase of relaxation time and viscosity in high-molecular-weight polymeric fluids essentially limits the usage of classic molecular dynamics simulation. Here, we demonstrate a systematic coarse-graining approach for modeling entangled polymers under the slip-spring particle-field scheme. Specifically, a frequency-controlled slip-spring model, a hybrid particle-field model, and a coarse-grained model of polystyrene melts are combined into a hybrid simulation technique. Via a rigorous parameterization strategy to determine the parameters in slip-springs from existing experimental or simulation data, we show that the reptation behavior is clearly observed in multiple characteristics of polymer dynamics, mean-square displacements, diffusion coefficients, reorientational relaxation, and Rouse mode analysis, consistent with the predictions of the tube theory. All dynamical properties of the slip-spring particle-field models are in good agreement with classic molecular dynamics models. Our work provides an efficient and practical approach to establish chemical-specific coarse-grained models for predicting polymer-entangled dynamics.

Polymers Studied: Polystyrene, Polystyrene (N=100), Polystyrene (N=200), Polystyrene (N=400), Polystyrene (N=750)
Properties Measured: density
Force Fields Used: CG MD, A coarse-grained polystyrene force field developed by Qian et al, CG model by Qian et al.

Sample Data:
  - Polystyrene: density = 0.96
  - Polystyrene (N=100): density = 0.96
  - Polystyrene (N=200): density = 0.96
  - Polystyrene (N=400): density = 0.96
  - Polystyrene (N=750): density = 0.96
  ... and 6 more measurements

DOI: https://doi.org/10.1021/acs.jctc.0c00954",paper,https://doi.org/10.1021/acs.jctc.0c00954,Combination of Hybrid Particle-Field Molecular Dynamics and Slip-Springs for the Efficient Simulation of Coarse-Grained Polymer Models- Static and Dynamic Properties of Polystyrene Melts,"Polystyrene, Polystyrene (N=100), Polystyrene (N=200), Polystyrene (N=400), Polystyrene (N=750)",density,11
"Title: Comparison of Crosslinking Algorithms in Molecular Dynamics Simulation of Thermosetting Polymers

Abstract: The generation of fully cross-linked structure is a central task in molecular dynamics simulations of thermosetting polymers. Several algorithms for generating such structures exist, but it is so far not clear what impact the choice of algorithm has on thermal and material properties one typically wants to use simulations to predict. We generated cross-linked systems comprised of stoichiometric amounts of diglycidyl ether of bisphenol A and poly(oxyproplylene) diamine using two methods: (1) a single-step approach, in which crosslink bonds are assigned based on a Monte-Carlo algorithm that minimizes aggregate bond lengths, and (2) a multi-step approach, which uses an incrementally increasing capture radius to identify bonding partners. The choice of cross-linking method has only a minimal impact on thermal and mechanical properties. The minimum nitrogen-to-nitrogen contour-length distributions are also insensitive to the method. However, significant differences were found in the molecular weight distribution of fragments formed by cutting each POP cross-linker between the amines: the single-step method results in fewer, larger fragments compared to the multi-step method. This indicates that the networks formed by the two methods are qualitatively different, and underscores the need for further studies to characterize the influence of polymer network connectivity both in simulations and experiments.

Polymers Studied: DGEBA-POP — DGEBA–poly(oxypropylene) epoxy network
Properties Measured: density, glass_transition_temp, youngs_modulus
Force Fields Used: GAFF

Sample Data:
  - DGEBA-POP — DGEBA–poly(oxypropylene) epoxy network: density = 1.13
  - DGEBA-POP — DGEBA–poly(oxypropylene) epoxy network: glass_transition_temp = 446
  - DGEBA-POP — DGEBA–poly(oxypropylene) epoxy network: youngs_modulus = 5.36
  - DGEBA-POP — DGEBA–poly(oxypropylene) epoxy network: density = 1.13
  - DGEBA-POP — DGEBA–poly(oxypropylene) epoxy network: glass_transition_temp = 441
  ... and 9 more measurements

DOI: https://doi.org/10.1002/mats.201400094",paper,https://doi.org/10.1002/mats.201400094,Comparison of Crosslinking Algorithms in Molecular Dynamics Simulation of Thermosetting Polymers,DGEBA-POP — DGEBA–poly(oxypropylene) epoxy network,"density, glass_transition_temp, youngs_modulus",14
"Title: Comparisons between integral equation theory and molecular dynamics simulations for realistic models of polyethylene liquids

Abstract: Molecular dynamics √ï√´MD√ï√≠ simulations were performed on dense liquids of polyethylene chains of 24 and 66 united atom CH 2 units. A series of models was studied ranging in atomistic detail from coarse-grained, freely-jointed, tangent site chains to realistic, overlapping site models subjected to bond angle restrictions and torsional potentials. These same models were also treated with the self-consistent, polymer reference interaction site model √ï√´PRISM√ï√≠ theory. The intramolecular and total structure factors, as well as, the intermolecular radial distribution functions g(r) and direct correlation functions C(r) were obtained from theory and simulation. Angular correlation functions were also obtained from the MD simulations. Comparisons between theory and simulation reveal that PRISM theory works well for computing the intermolecular structure of coarse-grained chain models, but systematically underpredicts the extent of intermolecular packing, and overpredicts the compressibility, as more realistic details are introduced into the model. We found that the PRISM theory could be considerably improved by adding a tail function to C(r) beyond the effective hard core diameter. The range of this tail function was determined by requiring the theory to yield the correct compressibility. The intermolecular radial distribution functions from this modified PRISM theory were in excellent agreement with g(r)'s obtained from the simulations.

Polymers Studied: Polyethylene
Properties Measured: radius_gyration
Force Fields Used: united atom model with Lennard-Jones potential, united atom model with repulsive Lennard-Jones potential, united atom model with repulsive Lennard-Jones potential, free rotation

Sample Data:
  - Polyethylene: radius_gyration = 1.334
  - Polyethylene: radius_gyration = 1.335
  - Polyethylene: radius_gyration = 0.675
  - Polyethylene: radius_gyration = 0.67
  - Polyethylene: radius_gyration = 0.692

DOI: https://doi.org/10.1063/1.480335",paper,https://doi.org/10.1063/1.480335,Comparisons between integral equation theory and molecular dynamics simulations for realistic models of polyethylene liquids,Polyethylene,radius_gyration,5
"Title: Compatibility of polyvinyl alcohol and poly(methyl vinyl ether-co-maleic acid) blends estimated by molecular dynamics

Abstract: The CSIR has developed a novel oxygen barrier technology for plastics packaging based on interpolymer complex formation between PVOH (polyvinyl alcohol) and PMVE-MA (poly(methyl vinyl ether-co-maleic acid)). As interpolymer complexation interactions are strongly dependent on stoichiometric ratios, the estimation of the optimum blend ratio is an important component of blend design.This study used molecular dynamics modelling to predict the ratio of optimum interaction for PVOH:PMVE-MA blends. Amorphous cells were constructed containing blends of short-chain repeat units of PVOH and PMVE-MA. The oligomers were equilibrated using both NVT and NPT dynamics and the cohesive energy densities (CED's) of the models were computed. From the CED's, energies of mixing and Flory-Huggins Chi Parameter (c) values were estimated.The c-values were negative for all blends, indicating favorable interaction between the two polymers. The minimum c-values were found around 0.6-0.7 mass fraction of PMVE-MA, which agrees well with experimental viscosity results (this work), which indicated optimum interaction around 0.7 mass fraction PMVE-MA. These results confirm that molecular dynamics can be used as a tool for investigating interpolymer complexation phenomena.

Polymers Studied: Polyvinyl Alcohol (PVOH), Poly(methyl vinyl ether-co-maleic acid), Polyvinyl Alcohol / Poly(methyl vinyl ether-co-maleic acid) blend
Properties Measured: density
Force Fields Used: COMPASS

Sample Data:
  - Polyvinyl Alcohol (PVOH): density = 1.113
  - Poly(methyl vinyl ether-co-maleic acid): density = 1.315
  - Polyvinyl Alcohol / Poly(methyl vinyl ether-co-maleic acid) blend: density = 1.232

DOI: https://doi.org/10.1016/j.polymer.2005.03.121",paper,https://doi.org/10.1016/j.polymer.2005.03.121,Compatibility of polyvinyl alcohol and poly(methyl vinyl ether-co-maleic acid) blends estimated by molecular dynamics,"Polyvinyl Alcohol (PVOH), Poly(methyl vinyl ether-co-maleic acid), Polyvinyl Alcohol / Poly(methyl vinyl ether-co-maleic acid) blend",density,3
